"","V1"
"1","Earlier this month, my TV entertainment included Dish 200+ channel satellite TV, 20Mbps turbo internet, Netflix, and Amazon Prime. After doing some research, I bought 3 Amazon Fire Sticks with the voice remote, cancelled Dish, upgraded to 30Mbps internet, added Sling 25 channels, added standard Hulu, and CBS All Access. Guess who still gets 96+% of the channels watched, added Prime Music and several hundred shows (that networks don't play) to all the TVs in the house, and saved over $700 per year compared to what I paid this past year? I did. I never thought of ""cutting the cord"" until I really looked into it all. Getting Amazon Fire Sticks are worth it and they work well....and once you get used to knowing what show plays where, it's a no-brainer. Just like how you originally had to figure out how to use a smart phone back in the day. After a while, it's a breeze. I highly recommend everything I listed in this review. Seriously....take a couple hours and make a spread-sheet listing the must-have shows that people in your household watch. Then make a comparison to what's available on the streaming services. If you're like me, and you don't watch 80% of the channels you pay for, it's so worth it."
"2","I didn't really know what to expect so when I got the Firestick it was really easy to use,Alexa is great and very dependable. It was easy to hook up and get started watch movies. And I even bought a TV sound bar to improve my watching experience,TV Sound Bar, Meidong Bluetooth Soundbar with Built-in Subwoofer, 36 inch 2.0 Channel Home Theater Speakers, Wireless and Wired Bluetooth Audio for TV/PC/ Phones/Tablets/ Echo dot (2017 Model) it is a really good partner with my old TVs,also recommend.The original software is still there so you can use it with your Amazon Account too. Simply follow the instructions normally to install it on your TV. I had kodi installed and can stream more content than I could ever watch. I can't compare this against the old stick but this is fast, no buffering for me. The layout on the screen is easy to use and navigate. The remote is very tactile and responsive. I love that you get the hdmi dongle as my tv has hard to access ports. I'm planning on buying another for my son's tv soon.I found that the included power adapter isn't really necessary as long as you have a powered USB Port on your TV to plug it in to.I did notice that if you are using the 2.4GHZ wireless on your Wireless Network it does affect the speed especially if you have COMCAST/XFinity-, or other Cable provider as they are throttling the 2.4GHZ bandwidth to 25Gbps. They are doing that to pretty much force people to upgrade or update their devices to the 5GHZ bandwidth. If you don't know for sure run a SpeedTest and find out what your download speed is- upload is not at Full Duplex so it will be slower on both bands. Recommend if you have the 5GHZ band to use that band so you can use the Firestick at the optimal speed. Yes, the Firestick has 5GHZ band! Love the Firestick.What do you need to make it work?====The Stick attaches to an HDMI port on your TV or projector. It comes pre-loaded with your Amazon account details, so the only setup you need is to plug it in and enter your WiFi password, using a simple on-screen prompt. There's no need to go hunting for obscure settings.Power is supplied by a small USB wall adapter, but you can power it from any 1A USB socket. My TV has a USB port, but it doesn't supply enough power for the Stick.You need a decent WiFi signal in the location you intend to use the TV. It’s essential to have a decent internet connection (I’d recommend at least 5 MB/sec), and preferably an unlimited data package (otherwise, video streaming will burn through your data allowance in no time).A short HDMI extension cable is included, which is handy if your TV has awkwardly-positioned ports. As with the previous-gen Stick, the extension cable also seems to boost WiFi reception a bit.The Alexa Voice Remote====Despite the new name, the Alexa Voice Remote is identical to the previous Fire TV Stick voice remote. It’s small, but fairly hefty, and is comfortable to hold. It has the usual 4-way navigation pad and media controls, but no volume buttons - you’ll need to keep your TV remote handy for that. It connects via WiFi, not infra-red, so you can safely tuck the Fire TV stick behind your wall-mounted TV and it will still work fine.The remote’s major selling-point is the built-in mic, Unlike with the Amazon Echo.Fees====You need a subscription to Amazon Video ($8.99/month) or Amazon Prime ($99/year) to stream movies and TV shows. Note that whilst there is lots of free-with-subscription content, some items still require a rental fee, especially recent movies (rentals are $3.99 in HD). Some new-release movies are purchase-only."
"3","The Amazon Fire Stick is an amazing device. Television services are moving away from cable and satellite and are moving toward internet based streaming formats. These internet based services work from apps (software packets) and the AFS (Amazon Fire Stick) provides you with these apps. In fact, it provides you with every kind of app you can think of and the AFS does it at an affordable price.The AFS plugs into the HDMI jack on your television and also comes with a power adapter that plugs into the wall. The AFS is controlled by a remote control that comes with the device. In order to receive signals, the AFS requires WIFI or a local hot spot with speed requirements of around 5 Mbps for HD broadcasts. Movies and shows displayed by the device are typically in HD quality with good picture and sound quality. It is easy to set up and use and I was up and running in minutes.Many television channels you receive through cable or satellite services, like the History Channel for example, offer programming over the internet. In order to watch these shows on a television, you need a hardware device that converts these shows into a format the television can use (HDMI plug). It also has to be loaded with a software packet for the particular channel you want to watch. The AFS is a device that provides you with both the hardware and software needed to watch such shows and it bundles everything together nicely so it is extremely easy to use.Shows available to watch on the AFS vary how they can be accessed for viewing. Some apps (channels) are free and they offer limited programming on demand from shows they aired in the past. Others require monthly fees. Some apps like Sling, Hulu, PlayStation Vue, etc. offer multiple channels all on the same app. PlayStation Vue (the one I signed up with) offers bundled packages of channels just like cable or satellite services and they are live broadcasts! PS Vue displays a guide with many channels to choose from and comes with a DVR recorder so programs can be recorded and watched later. The amazing thing with Vue is you can go into the guide, pick a show that was aired, say, two hours ago that you missed and watch it in its entirety! The AFS gives you the tools you need to receive such programming.Another sweet thing about using the AFS for television viewing is no installer has to come to your house to set up your equipment and when you’re finished with their service nothing has to be returned. All you need is provided by the AFS. Also, no service contracts are required and services can be cancelled at any time with no penalties.I hope this was useful. Many of you took the time to write reviews and they were extremely helpful to me. I wanted to return the favor."
"4","I know why most of you are here. So before I get started, YES. The All-New Amazon Fire TV Stick DOES work with KODI. I repeat, you will STILL be able to sideload Kodi onto this device!Now that we have that incredibly important piece of information out of the way, I will start off by saying the All-New Amazon Fire TV Stick picks off where its ever so popular predecessor left off, offering you one of the most inexpensive ways to stream HOURS of content to your TV.The package itself includes:- The Fire TV Stick- The Remote control WITH Alexa voice control- A Power adapter- 2 AAA batteries (by Amazon basics)- an HDMI extender if the Fire TV Stick does not fit into your TV’s HDMI port.The device itself couldn’t be easier to use. Simply plug it into your TV, and you’re good to go! With this device, you’ll be able to use apps such as Netflix, Pandora, HBO, and even Amazon prime (provided you’re a prime member). You will of course need accounts for all of the previously mentioned apps, but if you do not, you can also use YouTube through this device, which has hours of content on it by itself! If you’re an Amazo Prime member, you will already have access to thousands of TV shows and Movies… just in case you didn’t know!The All New Amazon Fire TV Stick features some changes that are worth mentioning, but if you’re not too tech-savy, just know that this stick performs faster than the older model. This is due to a stronger processor, a 1.3ghz quad core processor vs a 1ghz dual core processor from older models. I WAS a bit disappointed to see that the All-New Fire TV Stick did not upgrade to 2gb of Ram. While 1gb is plenty for streaming in most cases, users may find occasional lag on the home screen, especially when first booting the device up. I’ve found that if I turn on my firestick, and go do something else for a few minutes, or just allow the device some time to boot up, I do not run into this issue. While there has not been an update in ram, I have noticed that navigating the fire stick is MUCH quicker than previous models, which will make anybody happy.Perhaps the biggest change from the previous Fire TV Stick is the remote control. While all of the buttons are the same, you now have a “Voice Control” button on top of the remote control. By pressing this button, you are allowed access to wide range of commands that take all of the grunt work out of browsing your streaming device. For instance, you can ask Alexa to “Find horror movies”, “play music from pandora”, “fast forward 5 minutes”, etc. This feature is ESPECIALLY useful given the difficulties surrounding the use of streaming devices with a remote control that doesn’t have a keyboard or mouse. It is also worth mentioning that the buttons are now made of a soft rubber material, and are easier to use.To conclude, If you’re looking for a portable, depdnable, and easy to use streaming device, this is it. At just under $40.00, It’s hard to say no to perhaps the least expensive streaming device on the market. While I do wish that this model featured 2gb of ram for quicker browsing, 1gb is plenty for what most people will be using this device for; streaming. All in all, I would very much recommend this device!IF you have any questions about this device, please feel free to comment. As somebody who uses Amazon almost daily, I’ll get back to you very shortly."
"5","I am SO GLAD I bought this Fire TV Stick with Alexa.  It has literally made my life happier.  As I write this review I'm listening to ""soft classic rock"".  All I had to do was say...""Play soft classic rock"" and music started playing.  For people like me who are elderly, tech illiterate, perhaps disabled, and who love music, movies, and TV shows, let me explain a few things.  I've been looking at this stick for some time now but was scared to buy it.  Then one day I said...the heck with it...I'm not stupid...I can read instructions...if it doesn't work for me I can send it back...I have nothing to lose and it's affordable.  So I purchased a fire stick...yea me...lol.This is NOT complicated to hook up AT ALL and there are very clear instructions that anyone can understand. The box you get includes power adapter, a cable, and extender cable, the fire stick, 2 batteries for the remote, and an Alexa Voice Remote.  It's as simple as can be.  First of all the instructions say the extender cable is to improve WiFi and remote performance so I used it.  Why not..better is always better..lol.  So...I plugged one end of the power cable into the power adapter and the other end of the cable into the fire stick.  Then I plugged the fire stick into the HDMI extender cable and then plugged that into the TV.  I have a wide screen Sanyo.  When you stick your head around the left side of our TV you see three places to plug ""things"" into. They're called ports...lol.  Mine are marked HDMI 1, 2, and 3.  I just plugged the stick into port HDMI 1. Last, I plugged the adapter into the wall socket and that was it. That's it.  THAT'S IT!!!!  That's ALL I had to do.  Read the short instructions to connect this fire stick. Turn on your TV and then follow the instructions that appear on your screen.  The Fire Stick does the rest.Obviously you can watch movies and TV shows as explained in the description but there's so much more.  Ask Alexa what the weather is for the day in your home town or where your kids live across the country.  I love music but somehow got away from listening to it over the years. Not anymore.  There's always music in our house now.  Just turn on the TV and tell Alexa what to play.  This time I pressed the button and said...""play soft rock"".  Alexa said...""here's a station that plays soft rock"".  The first station didn't appeal to me so I pressed the button again and said ""next"".  I got another soft classic rock station that's been playing for over an hour now. I've been listening to songs I used to love and haven't heard in a long time.  How I love ""Hotel California"". They call them stations but it only plays music...no commercials or chatter...one song plays after the other. Also a box shows on the screen that gives you the name of the song playing and the artist.  You can ask for any kind of music from classical, to rock, to alternative, to show tunes.I'm still learning.  I know there's more I can do with this and it will get easier to find exactly what I'm looking for as I play around with it.  I bought mine during the introductory promotion for the ""All-New"" version...think it was $29.95.  Now it's $10 more but still worth every cent.  Don't hesitate to buy it because you think it's too complicated.  They really made a good little device here and it's very easy to use for anyone who has a TV and WiFi which you probably have if you have a computer."
"6","I own both the new Fire and Roku stick (3600R), below is a short review and honest (personal) opinion on both products.User Interface: the Fire stick has essentially the same UI as Fire TV (which I also own), it is largely divided by content category (Home, Video, TV, Movie, Music, Games, Photo, Apps, etc.), and integrated seamlessly with Prime eco-system. If you are already a Prime member, you will have better experience with Fire stick than Roku. Roku’s UI has the advantage of integrating more contents (Google Store, My Feed, News, etc.). Roku also allows user to make certain changes in Home screen (add/remove/move tiles), unlike Fire stick. However, both UIs are well designed, smooth. It comes down to personal preference.Hardware/Streaming Quality: as far as I can tell, there isn’t much difference, both are powerful devices, almost no lags with either device. One of the attached pictures is a screenshot of streaming YouTube 4K content from Fire stick, the picture quality is stunning (output as 1080p).Remote: I personally like the Fire remote, it is simple (only 7 buttons with a navigation ring), but provides all the functions you will need. I find it is both slimmer and easier to use than the Roku remote. In addition, Fire remote has a voice function, which you won’t find on Roku, this is a big plus. Also note that the Fire stick remote will work with Fire TV but you will have to ""unpair"" it first (please see the comment made by RoadDog on this review).Voice Search/Alexa: Amazon has greatly improved the search function. One of the main complains of earlier versions of Fire TV/Stick is that Alexa only search Amazon contents, but not 3rd parties’ (Netflix, etc.). However, with the latest software update, the search results now show both Amazon and 3rd party. You can choose from multiple ways to watch a movie (and whether the option is free of charge is clearly indicated).Power Cord: the USB cable came with Fire stick is about 4 feet long, it also comes with an adapter. However, I am using a 3rd party wall charger (iClever BoostCube+ 30W Dual USB Wall Charger with Qualcomm Quick Charge 3.0), and it worked well. In one of the pictures you can see the Fire charger output = 5.0V + 1.0A, iClever output is sufficient. It is a benefit in case you travel a lot, so that you won’t need to bring two separate chargers. One charger with two output slots will be enough for both your phone and Fire stick.App Quality: one of the main reasons that I bought the Fire stick after I bought Roku is because the quality of Playstation Vue app on Fire system is MUCH better than Roku, from my experience there is simply no comparison. Vue app on Fire gives you much easier access to your recorded shows, live programming schedule and channel switching. Roku doesn’t have live programming schedule, and some of my recorded shows are missing. However, quality of other main apps (Netflix, YouTube, ESPN, etc.) are more or less on par between Fire and Roku.Price: Fire stick is ~$9 cheaperHotel/Travel log-in: with Roku, you will need a separate mobile device (phone) to connect to a specific WiFi network established by the stick, then open up a browser and log in (normally with room# and last name). Often it took me several tries to establish the connection. With Fire stick, no need for a separate device, you will go to ""Settings/System/Network"" and press the ""option"" button on the remote, an on-screen cursor would appear, which allows you to log in as if you are using a laptop. I found the ""Fire"" way simpler and more intuitive.Physical Appearance: in fact, this is the only category I’d put Roku on top of Fire stick. The new Fire stick (1.2 x 3.4in) is much larger than Roku (you can see from the picture), it is even larger than the first generation Fire stick. This really surprised me as I thought the trend is to make them smaller. I also prefer that Roku put the power slot at the end of stick, while Fire stick put it right in the middle, which is really awkward.In short, if you are a Prime member and use Playstation Vue, I’d highly recommend the new Fire stick."
"7","Set this up for a friend and found it very simple. It attaches to the amazon account that purchased it initially. So i created her an amazon account and was able to link it to her new account instead. All i had to do was pug it into the back of the tv (i had to use the little extender because there wasn't enough room at the back for it to sit next to the other HDMI plug), then plug it into a power source and switch the TV input. Then the screen prompted me to choose the network, enter internet password, and so on.  You will need to have a form of payment on file to download any ""apps"", even if they are free... Just so you know. You will not be charged anything to use this product, there is a lot of free content, but should you want to purchase it is easier for everyone if there is already a card on file so you can watch immediately.Very impressed with ease of use, worth the wait for it to arrive. Friend loves it! She is not tech savvy at all, but with practice is working her way through the jw broadcasting app and really enjoying the programming.Another side note, I noticed some borders (top and bottom) were cut off on her tv screen, including the top menus. If this happens to you, it can be changed by adjusting the display settings on your actual TV. In her case, I left as is because she liked the way her screen displayed on the regular for tv and movies. She has just memorized which tab goes to which content, and if all else fails, just click it and see and if its not what you want, click the next one, right?Also the Alexa feature is nice to pull up any app!!Hope this was helpful for anyone wondering about purchasing this or setting it up"
"8","We have two of these fire sticks in our home so far, and we are extremely pleased with them. Eliminating cable and streaming instead has been life altering in an amazing way for us, in our family of four. By far, I would rate this the greatest, and most used gadget we have purchased.Since this works off of wifi and internet, yes you will have those occasional little spurts and lags you get with any internet connection and streaming devices, but as a whole this great little stick has performed over and over again for us also making it the best gadget for a family on a budget.If you're new to concept of this, or on the fence, trust that it is not in any way difficult and you will successfully set it up, and love it!"
"9","The 1st generation firestick had an option to calibrate/resize the picture so that the edges don't get cut off.  The 2nd generation firestick adds ""Alexa"" as a new feature, but they also took away the option to calibrate/resize the picture.  Instead that screen says to adjust your TV so that the picture fits.  My TV has absolutely no display setting that is compatible with the firestick!  So I am stuck with the edges of the screen being cut off.  Reading a bunch of forums about this where other people complain about the same issue, evidently Amazon was aware of this issue at least 9 months ago and they told customers that they were going to release a fix for this problem in an upcoming release.  Well 9 months later, there still is no fix for this problem, despite the fact that they did release new firmware, which basically re-arranged the menus on the firesick from the left to the top..  This picture size issue won't affect everybody because every TV renders the screen differently, and I'd like to believe that most TVs may be able to resize the screen after you go through the menus on the TV so that the video signal from the firestick fits the screen.  But I have a TV made by Sharp that just won't fit the screen properly from the firestick.  The people who make the Firestick certainly had to have known that this would be an issue, because they had the feature to calibrate/resize the picture in the 1st generation firestick.  Why is that useful and nescessary feature missing on this 2nd generation firestick?  So I give it ONE STAR... until Amazon pushes out new firmware that fixes this problem."
"10","This was purchased as a gift but i also own one myselfThis is s 85.9mm by 30mm by 12.6mm stick that plugs into the HDMI port on your TV, and if it's already registered to your Amazon account, there's little to do other than switch it on and connect it to your Wi-Fi router.The Fire TV Stick is n example of turning dumb machines into smarter ones: the TV which I tested the Fire Stick on is at least seven years old from my college days, 19 inches, and wasn't top-of-the-range even then.The Fire Stick can't do much about the quality of the display but it does make my old TV smart enough to prolong its life by a year or two, maybe even longer, by allowing me to use video streaming services like Amazon's Prime Video and other services like Netflix and HULU.The Fire version of the Alexa service is launched by holding down the microphone button on the remote control and making a request.And because the TV -- unlike the Echo, which i also own- has a screen, you'll get more information, or at least a bit of text, with your weather forecast and other skills.For those who already use streaming​ video services, the voice control is a fun addition with plenty of potentials.-I hope you find this review helpful--- Sandra Awodele-"
